FIPS,CENSUS_2010_POP
13207,"26,424"
13209,"9,123"
13211,"17,868"
13213,"39,628"
13215,"189,885"
13217,"99,958"
13219,"32,808"
13221,"14,899"
13223,"142,324"
13225,"27,695"
13227,"29,431"
13229,"18,758"
13231,"17,869"
13233,"41,475"
13235,"12,010"
13237,"21,218"
13239,"2,513"
13241,"16,276"
13243,"7,719"
13245,"200,549"
13247,"85,215"
13249,"5,010"
13251,"14,593"
13253,"8,729"
13255,"64,073"
13257,"26,175"
13259,"6,058"
13261,"32,819"
13263,"6,865"
13265,"1,717"
13267,"25,520"
13269,"8,906"
13271,"16,500"
13273,"9,315"
13275,"44,720"
13277,"40,118"
13279,"27,223"
13281,"10,471"
13283,"6,885"
13285,"67,044"
13287,"8,930"
13289,"9,023"
13291,"21,356"
13293,"27,153"
13295,"68,756"
13297,"83,768"
13299,"36,312"
13301,"5,834"
13303,"21,187"
13305,"30,099"
13307,"2,799"
13309,"7,421"
13311,"27,144"
13313,"102,599"
13315,"9,255"
13317,"10,593"
13319,"9,563"
13321,"21,679"
15001,"185,079"
15003,"953,207"
15005,90
15007,"67,091"
15009,"154,834"
16001,"392,365"
16003,"3,976"
16005,"82,839"
16007,"5,986"
16009,"9,285"
16011,"45,607"
16013,"21,376"
16015,"7,028"
16017,"40,877"
16019,"104,234"
16021,"10,972"
16023,"2,891"
16025,"1,117"
16027,"188,923"
16029,"6,963"
16031,"22,952"
16033,982
16035,"8,761"
16037,"4,368"
16039,"27,038"
16041,"12,786"
16043,"13,242"
16045,"16,719"
16047,"15,464"
16049,"16,267"
16051,"26,140"
16053,"22,374"
16055,"138,494"
16057,"37,244"
16059,"7,936"
16061,"3,821"
16063,"5,208"
16065,"37,536"
16067,"20,069"
16069,"39,265"
16071,"4,286"
16073,"11,526"
16075,"22,623"
16077,"7,817"
16079,"12,765"
16081,"10,170"
16083,"77,230"
16085,"9,862"
16087,"10,198"
17001,"67,103"
17003,"8,238"
17005,"17,768"
17007,"54,165"
17009,"6,937"
17011,"34,978"
17013,"5,089"
17015,"15,387"
17017,"13,642"
17019,"201,081"
17021,"34,800"
17023,"16,335"
17025,"13,815"
17027,"37,762"
17029,"53,873"
17031,"5,194,675"
17033,"19,817"
17035,"11,048"
17037,"105,160"
17039,"16,561"
17041,"19,980"
17043,"916,924"
17045,"18,576"
17047,"6,721"
17049,"34,242"
17051,"22,140"
17053,"14,081"
17055,"39,561"
17057,"37,069"
17059,"5,589"
17061,"13,886"
17063,"50,063"
17065,"8,457"
17067,"19,104"
17069,"4,320"
17071,"7,331"
17073,"50,486"
17075,"29,718"
17077,"60,218"
17079,"9,698"
17081,"38,827"
17083,"22,985"
17085,"22,678"
17087,"12,582"
17089,"515,269"
17091,"113,449"
17093,"114,736"
17095,"52,919"
17097,"703,462"
17099,"113,924"
17101,"16,833"
17103,"36,031"
17105,"38,950"
17107,"30,305"
17109,"32,612"
17111,"308,760"
17113,"169,572"
17115,"110,768"
17117,"47,765"
17119,"269,282"
17121,"39,437"
17123,"12,640"
17125,"14,666"
17127,"15,429"
17129,"12,705"
17131,"16,434"
17133,"32,957"
17135,"30,104"
17137,"35,547"
17139,"14,846"
17141,"53,497"
17143,"186,494"
17145,"22,350"
17147,"16,729"
17149,"16,430"
17151,"4,470"
17153,"6,161"
17155,"6,006"
17157,"33,476"
17159,"16,233"
17161,"147,546"
17163,"270,056"
17165,"24,913"
17167,"197,465"
17169,"7,544"
17171,"5,355"
17173,"22,363"
17175,"5,994"
17177,"47,711"
17179,"135,394"
17181,"17,808"
17183,"81,625"
17185,"11,947"
17187,"17,707"
17189,"14,716"
17191,"16,760"
17193,"14,665"
17195,"58,498"
17197,"677,560"
17199,"66,357"
17201,"295,266"
17203,"38,664"
18001,"34,387"
18003,"355,329"
18005,"76,794"
18007,"8,854"
18009,"12,766"
18011,"56,640"
18013,"15,242"
18015,"20,155"
18017,"38,966"
18019,"110,232"
18021,"26,890"
18023,"33,224"
18025,"10,713"
18027,"31,648"
18029,"50,047"
18031,"25,740"
18033,"42,223"
18035,"117,671"
18037,"41,889"
18039,"197,559"
18041,"24,277"
18043,"74,578"
18045,"17,240"
18047,"23,087"
18049,"20,836"
18051,"33,503"
18053,"70,061"
18055,"33,165"
18057,"274,569"
18059,"70,002"
18061,"39,364"
18063,"145,448"
18065,"49,462"
18067,"82,752"
18069,"37,124"
18071,"42,376"
18073,"33,478"
18075,"21,253"
18077,"32,428"
18079,"28,525"
18081,"139,654"
18083,"38,440"
18085,"77,358"
18087,"37,128"
18089,"496,005"
18091,"111,467"
18093,"46,134"
18095,"131,636"
18097,"903,393"
18099,"47,051"
18101,"10,334"
18103,"36,903"
18105,"137,974"
18107,"38,124"
18109,"68,894"
18111,"14,244"
18113,"47,536"
18115,"6,128"
18117,"19,840"
18119,"21,575"
18121,"17,339"
18123,"19,338"
18125,"12,845"
18127,"164,343"
18129,"25,910"
18131,"13,402"
18133,"37,963"
18135,"26,171"
18137,"28,818"
18139,"17,392"
18141,"266,931"
18143,"24,181"
18145,"44,436"
18147,"20,952"
18149,"23,363"
18151,"34,185"
18153,"21,475"
18155,"10,613"
18157,"172,780"
18159,"15,936"
18161,"7,516"
18163,"179,703"
18165,"16,212"
18167,"107,848"
18169,"32,888"
18171,"8,508"
18173,"59,689"
18175,"28,262"
18177,"68,917"
18179,"27,636"
18181,"24,643"
18183,"33,292"
19001,"7,682"
19003,"4,029"
19005,"14,330"
19007,"12,887"
19009,"6,119"
19011,"26,076"
19013,"131,090"
19015,"26,306"
19017,"24,276"
19019,"20,958"
19021,"20,260"
19023,"14,867"
19025,"9,670"
19027,"20,816"
19029,"13,956"
19031,"18,499"
19033,"44,151"
19035,"12,072"
19037,"12,439"
19039,"9,286"
19041,"16,667"
19043,"18,129"
19045,"49,116"
19047,"17,096"
19049,"66,135"
19051,"8,753"
19053,"8,457"
19055,"17,764"
19057,"40,325"
19059,"16,667"
19061,"93,653"
19063,"10,302"
19065,"20,880"
19067,"16,303"
19069,"10,680"
19071,"7,441"
19073,"9,336"
19075,"12,453"
19077,"10,954"
19079,"15,673"
19081,"11,341"
19083,"17,534"
19085,"14,928"
19087,"20,145"
19089,"9,566"
19091,"9,815"
19093,"7,089"
19095,"16,355"
19097,"19,848"
19099,"36,842"
19101,"16,843"
19103,"130,882"
19105,"20,638"
19107,"10,511"
19109,"15,543"
19111,"35,862"
19113,"211,226"
19115,"11,387"
19117,"8,898"
19119,"11,581"
19121,"15,679"
19123,"22,381"
19125,"33,309"
19127,"40,648"
19129,"15,059"
19131,"10,776"
19133,"9,243"
19135,"7,970"
19137,"10,740"
19139,"42,745"
19141,"14,398"
19143,"6,462"
19145,"15,932"
19147,"9,421"
19149,"24,986"
19151,"7,310"
19153,"430,640"
19155,"93,158"
19157,"18,914"
19159,"5,131"
19161,"10,350"
19163,"165,224"
19165,"12,167"
19167,"33,704"
19169,"89,542"
19171,"17,767"
19173,"6,317"
19175,"12,534"
19177,"7,570"
19179,"35,625"
19181,"46,225"
19183,"21,704"
19185,"6,403"
19187,"38,013"
19189,"10,866"
19191,"21,056"
19193,"102,172"
19195,"7,598"
19197,"13,229"
20001,"13,371"
20003,"8,102"
20005,"16,924"
20007,"4,861"
20009,"27,674"
20011,"15,173"
20013,"9,984"
20015,"65,880"
20017,"2,790"
20019,"3,669"
20021,"21,603"
20023,"2,726"
20025,"2,215"
20027,"8,535"
20029,"9,533"
20031,"8,601"
20033,"1,891"
20035,"36,311"
20037,"39,134"
20039,"2,961"
20041,"19,754"
20043,"7,945"
20045,"110,826"
20047,"3,037"
20049,"2,882"
20051,"28,452"
20053,"6,497"
20055,"36,776"
20057,"33,848"
20059,"25,992"
20061,"34,362"
20063,"2,695"
20065,"2,597"
20067,"7,829"
20069,"6,006"
20071,"1,247"
20073,"6,689"
20075,"2,690"
20077,"6,034"
20079,"34,684"
20081,"4,256"
20083,"1,916"
20085,"13,462"
20087,"19,126"
20089,"3,077"
20091,"544,179"
20093,"3,977"
20095,"7,858"
20097,"2,553"
20099,"21,607"
20101,"1,750"
20103,"76,227"
20105,"3,241"
20107,"9,656"
20109,"2,756"
20111,"33,690"
20113,"29,180"
20115,"12,660"
20117,"10,117"
20119,"4,575"
20121,"32,787"
20123,"6,373"
20125,"35,471"
20127,"5,923"
20129,"3,233"
20131,"10,178"
20133,"16,512"
20135,"3,107"
20137,"5,671"
20139,"16,295"
20141,"3,858"
20143,"6,091"
20145,"6,973"
20147,"5,642"
20149,"21,604"
20151,"9,656"
20153,"2,519"
20155,"64,511"
20157,"4,980"
20159,"10,083"
20161,"71,115"
20163,"5,181"
20165,"3,307"
20167,"6,970"
20169,"55,606"
20171,"4,936"
20173,"498,365"
20175,"22,952"
20177,"177,934"
20179,"2,556"
20181,"6,010"
20183,"3,853"
20185,"4,437"
20187,"2,235"
20189,"5,724"
20191,"24,132"
20193,"7,900"
20195,"3,001"
20197,"7,053"
20199,"1,485"
20201,"5,799"
20203,"2,234"
20205,"9,409"
20207,"3,309"
20209,"157,505"
21001,"18,656"
21003,"19,956"
21005,"21,421"
21007,"8,249"
21009,"42,173"
21011,"11,591"
21013,"28,691"
21015,"118,811"
21017,"19,985"
21019,"49,542"
21021,"28,432"
21023,"8,488"
21025,"13,878"
21027,"20,059"
21029,"74,319"
21031,"12,690"
21033,"12,984"
21035,"37,191"
21037,"90,336"
21039,"5,104"
21041,"10,811"
21043,"27,720"
21045,"15,955"
21047,"73,955"
21049,"35,613"
21051,"21,730"
21053,"10,272"
21055,"9,315"
21057,"6,856"
21059,"96,656"
21061,"12,161"
21063,"7,852"
21065,"14,672"
21067,"295,803"
21069,"14,348"
21071,"39,451"
21073,"49,285"
21075,"6,813"
21077,"8,589"
21079,"16,912"
21081,"24,662"
21083,"37,121"
21085,"25,746"
21087,"11,258"
21089,"36,910"
